s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,Wood and articles of wood; wood charcoal,44Percentage,Cork and articles of cork,45Percentage,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",46Percentage,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage,"Paper and paperboard; articles of paper pulp, of paper or paperboard",48Percentage,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",49Percentage
46,-112,1,USA,-26,134,Australia,1,410168057,117078935,28.54%,109493,0.03%,103936,0.03%,16412620,4.00%,140379442,34.22%,136083631,33.18%
46,-112,1,USA,51,5,Belgium,1,369657707,63175896,17.09%,13527,0.00%,,0.00%,182255034,49.30%,108107471,29.25%,16105779,4.36%
46,-112,1,USA,-11,-53,Brazil,1,298725798,22286649,7.46%,60192,0.02%,72314,0.02%,134705284,45.09%,105839735,35.43%,35761624,11.97%
46,-112,1,USA,61,-98,Canada,1,9170209739,2127821818,23.20%,10178322,0.11%,11776093,0.13%,317750915,3.47%,4738055849,51.67%,1964626742,21.42%
46,-112,1,USA,-38,-71,Chile,1,203303178,18054718,8.88%,50141,0.02%,54275,0.03%,22781398,11.21%,146111336,71.87%,16251310,7.99%
46,-112,1,USA,37,104,China,1,6790001718,2546004281,37.50%,538216,0.01%,206504,0.00%,3372415504,49.67%,700315925,10.31%,170521288,2.51%
46,-112,1,USA,22,114,"China, Hong Kong SAR",1,206419515,51182415,24.80%,66237,0.03%,124836,0.06%,12750965,6.18%,84934701,41.15%,57360361,27.79%
46,-112,1,USA,4,-73,Colombia,1,223837902,7592933,3.39%,306062,0.14%,62348,0.03%,69159277,30.90%,127497649,56.96%,19219633,8.59%
46,-112,1,USA,10,-84,Costa Rica,1,224966623,4247664,1.89%,63623,0.03%,35292,0.02%,10668248,4.74%,195076380,86.71%,14875416,6.61%
46,-112,1,USA,19,-71,Dominican Rep.,1,292925623,81122867,27.69%,81761,0.03%,42738,0.01%,1955297,0.67%,196294887,67.01%,13428073,4.58%
46,-112,1,USA,46,3,France,1,235202185,47077364,20.02%,37246,0.02%,26742,0.01%,52462201,22.31%,95552910,40.63%,40045722,17.03%
46,-112,1,USA,51,10,Germany,1,630144837,97750113,15.51%,355785,0.06%,187076,0.03%,224606649,35.64%,213948047,33.95%,93297167,14.81%
46,-112,1,USA,16,-90,Guatemala,1,217951161,9245565,4.24%,,0.00%,22844,0.01%,6815896,3.13%,196673660,90.24%,5193196,2.38%
46,-112,1,USA,23,80,India,1,692984349,28620420,4.13%,185168,0.03%,54795,0.01%,458164177,66.11%,148022701,21.36%,57937088,8.36%
46,-112,1,USA,-2,117,Indonesia,1,396766116,50638824,12.76%,82535,0.02%,,0.00%,288080447,72.61%,50808628,12.81%,7155682,1.80%
46,-112,1,USA,43,12,Italy,1,619938180,98063508,15.82%,720274,0.12%,116116,0.02%,247445147,39.91%,229095599,36.95%,44497536,7.18%
46,-112,1,USA,38,138,Japan,1,1883495788,696279876,36.97%,91046,0.00%,322042,0.02%,466438355,24.76%,609523828,32.36%,110840641,5.88%
46,-112,1,USA,24,-103,Mexico,1,5737027887,762525731,13.29%,4624097,0.08%,1400797,0.02%,732050666,12.76%,3803942157,66.31%,432484439,7.54%
46,-112,1,USA,52,5,Netherlands,1,466879806,15786632,3.38%,,0.00%,122227,0.03%,182056926,38.99%,207239479,44.39%,61674542,13.21%
46,-112,1,USA,12,123,Philippines,1,186635684,18940768,10.15%,15844,0.01%,19850,0.01%,41611945,22.30%,101960202,54.63%,24087075,12.91%
46,-112,1,USA,36,128,Rep. of Korea,1,770349396,120332836,15.62%,142526,0.02%,146312,0.02%,341381017,44.32%,271977174,35.31%,36369531,4.72%
46,-112,1,USA,24,45,Saudi Arabia,1,183265451,17692780,9.65%,15770,0.01%,5820,0.00%,63649331,34.73%,73927505,40.34%,27974245,15.26%
46,-112,1,USA,40,-4,Spain,1,336795713,92580974,27.49%,8554,0.00%,14233,0.00%,82600635,24.53%,139361623,41.38%,22229694,6.60%
46,-112,1,USA,15,101,Thailand,1,202654438,27094618,13.37%,36451,0.02%,12597,0.01%,109680552,54.12%,53231730,26.27%,12598490,6.22%
46,-112,1,USA,39,35,Turkey,1,366370033,94502732,25.79%,60998,0.02%,47473,0.01%,136207372,37.18%,130934631,35.74%,4616827,1.26%
46,-112,1,USA,54,-3,United Kingdom,1,1742216078,754103325,43.28%,2439352,0.14%,361878,0.02%,16463849,0.94%,366224688,21.02%,602622986,34.59%
46,-112,1,USA,17,106,Viet Nam,1,311728982,216027573,69.30%,28550,0.01%,57122,0.02%,70548529,22.63%,21069867,6.76%,3997341,1.28%
48,14,2,Austria,-26,134,Australia,,104131263,68532165,65.81%,695,0.00%,,0.00%,,0.00%,34716687,33.34%,881716,0.85%
48,14,2,Austria,51,5,Belgium,,165883544,27963040,16.86%,94851,0.06%,14123,0.01%,763851,0.46%,132801852,80.06%,4245827,2.56%
48,14,2,Austria,61,-98,Canada,,66260572,55571807,83.87%,116,0.00%,1229,0.00%,135,0.00%,9846492,14.86%,840793,1.27%
48,14,2,Austria,37,104,China,,108380840,57944891,53.46%,163066,0.15%,3252,0.00%,309,0.00%,43238235,39.89%,7031087,6.49%
48,14,2,Austria,45,16,Croatia,,136699034,74780881,54.70%,1365278,1.00%,51542,0.04%,5575693,4.08%,53273392,38.97%,1652248,1.21%
