s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,total,46Percentage
46,-112,1,USA,-26,134,Australia,1,103936,0.03%
46,-112,1,USA,51,5,Belgium,1,,0.00%
46,-112,1,USA,-11,-53,Brazil,1,72314,0.02%
46,-112,1,USA,61,-98,Canada,1,11776093,0.13%
46,-112,1,USA,-38,-71,Chile,1,54275,0.03%
46,-112,1,USA,37,104,China,1,206504,0.00%
46,-112,1,USA,22,114,"China, Hong Kong SAR",1,124836,0.06%
46,-112,1,USA,4,-73,Colombia,1,62348,0.03%
46,-112,1,USA,10,-84,Costa Rica,1,35292,0.02%
46,-112,1,USA,19,-71,Dominican Rep.,1,42738,0.01%
46,-112,1,USA,46,3,France,1,26742,0.01%
46,-112,1,USA,51,10,Germany,1,187076,0.03%
46,-112,1,USA,16,-90,Guatemala,1,22844,0.01%
46,-112,1,USA,23,80,India,1,54795,0.01%
46,-112,1,USA,-2,117,Indonesia,1,,0.00%
46,-112,1,USA,43,12,Italy,1,116116,0.02%
46,-112,1,USA,38,138,Japan,1,322042,0.02%
46,-112,1,USA,24,-103,Mexico,1,1400797,0.02%
46,-112,1,USA,52,5,Netherlands,1,122227,0.03%
46,-112,1,USA,12,123,Philippines,1,19850,0.01%
46,-112,1,USA,36,128,Rep. of Korea,1,146312,0.02%
46,-112,1,USA,24,45,Saudi Arabia,1,5820,0.00%
46,-112,1,USA,40,-4,Spain,1,14233,0.00%
46,-112,1,USA,15,101,Thailand,1,12597,0.01%
46,-112,1,USA,39,35,Turkey,1,47473,0.01%
46,-112,1,USA,54,-3,United Kingdom,1,361878,0.02%
46,-112,1,USA,17,106,Viet Nam,1,57122,0.02%
48,14,2,Austria,-26,134,Australia,,,0.00%
48,14,2,Austria,51,5,Belgium,,14123,0.01%
48,14,2,Austria,61,-98,Canada,,1229,0.00%
48,14,2,Austria,37,104,China,,3252,0.00%
48,14,2,Austria,45,16,Croatia,,51542,0.04%
48,14,2,Austria,50,15,Czechia,,373472,0.10%
48,14,2,Austria,46,3,France,,32797,0.01%
48,14,2,Austria,51,10,Germany,,1557110,0.05%
48,14,2,Austria,47,19,Hungary,,362151,0.13%
48,14,2,Austria,43,12,Italy,,291999,0.02%
48,14,2,Austria,38,138,Japan,,10449,0.00%
48,14,2,Austria,24,-103,Mexico,,,0.00%
48,14,2,Austria,52,5,Netherlands,,9149,0.00%
48,14,2,Austria,52,19,Poland,,174895,0.05%
48,14,2,Austria,46,25,Romania,,107013,0.07%
48,14,2,Austria,62,97,Russian Federation,,9612,0.01%
48,14,2,Austria,44,21,Serbia,,2834,0.00%
48,14,2,Austria,49,19,Slovakia,,515873,0.32%
48,14,2,Austria,46,15,Slovenia,,201020,0.04%
48,14,2,Austria,40,-4,Spain,,3939,0.00%
48,14,2,Austria,47,8,Switzerland,,2173135,0.28%
48,14,2,Austria,39,35,Turkey,,83,0.00%
48,14,2,Austria,54,-3,United Kingdom,,5067,0.00%
48,14,2,Austria,46,-112,USA,,49568,0.03%
61,-98,3,Canada,37,104,China,,181,0.00%
61,-98,3,Canada,23,80,India,,97,0.00%
61,-98,3,Canada,-2,117,Indonesia,,,0.00%
61,-98,3,Canada,38,138,Japan,,3966,0.00%
61,-98,3,Canada,24,-103,Mexico,,1899,0.00%
61,-98,3,Canada,36,128,Rep. of Korea,,,0.00%
61,-98,3,Canada,54,-3,United Kingdom,,16316,0.00%
61,-98,3,Canada,46,-112,USA,,29551142,0.16%
37,104,4,China,-26,134,Australia,,18511555,1.57%
37,104,4,China,24,90,Bangladesh,,241292,0.10%
37,104,4,China,51,5,Belgium,,21600657,6.18%
37,104,4,China,-11,-53,Brazil,,4251653,2.08%
37,104,4,China,61,-98,Canada,,39465109,4.90%
37,104,4,China,-38,-71,Chile,,3315205,1.68%
37,104,4,China,22,114,"China, Hong Kong SAR",,10677802,0.45%
37,104,4,China,26,30,Egypt,,268742,0.11%
37,104,4,China,46,3,France,,52210574,11.02%
37,104,4,China,51,10,Germany,,91242266,10.85%
37,104,4,China,23,80,India,,4741449,0.61%
37,104,4,China,-2,117,Indonesia,,625131,0.16%
37,104,4,China,33,54,Iran,,2310111,0.44%
37,104,4,China,33,44,Iraq,,256947,0.11%
37,104,4,China,31,35,Israel,,18247310,6.47%
37,104,4,China,43,12,Italy,,62531713,15.73%
37,104,4,China,38,138,Japan,,224799689,8.15%
37,104,4,China,4,110,Malaysia,,24018644,2.53%
