s_lat,s_lon,s_country_id,s_country,e_lat,e_lon,e_country,e_vol,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,47Percentage
46,-112,1,USA,-26,134,Australia,1,16412620,4.00%
46,-112,1,USA,51,5,Belgium,1,182255034,49.30%
46,-112,1,USA,-11,-53,Brazil,1,134705284,45.09%
46,-112,1,USA,61,-98,Canada,1,317750915,3.47%
46,-112,1,USA,-38,-71,Chile,1,22781398,11.21%
46,-112,1,USA,37,104,China,1,3372415504,49.67%
46,-112,1,USA,22,114,"China, Hong Kong SAR",1,12750965,6.18%
46,-112,1,USA,4,-73,Colombia,1,69159277,30.90%
46,-112,1,USA,10,-84,Costa Rica,1,10668248,4.74%
46,-112,1,USA,19,-71,Dominican Rep.,1,1955297,0.67%
46,-112,1,USA,46,3,France,1,52462201,22.31%
46,-112,1,USA,51,10,Germany,1,224606649,35.64%
46,-112,1,USA,16,-90,Guatemala,1,6815896,3.13%
46,-112,1,USA,23,80,India,1,458164177,66.11%
46,-112,1,USA,-2,117,Indonesia,1,288080447,72.61%
46,-112,1,USA,43,12,Italy,1,247445147,39.91%
46,-112,1,USA,38,138,Japan,1,466438355,24.76%
46,-112,1,USA,24,-103,Mexico,1,732050666,12.76%
46,-112,1,USA,52,5,Netherlands,1,182056926,38.99%
46,-112,1,USA,12,123,Philippines,1,41611945,22.30%
46,-112,1,USA,36,128,Rep. of Korea,1,341381017,44.32%
46,-112,1,USA,24,45,Saudi Arabia,1,63649331,34.73%
46,-112,1,USA,40,-4,Spain,1,82600635,24.53%
46,-112,1,USA,15,101,Thailand,1,109680552,54.12%
46,-112,1,USA,39,35,Turkey,1,136207372,37.18%
46,-112,1,USA,54,-3,United Kingdom,1,16463849,0.94%
46,-112,1,USA,17,106,Viet Nam,1,70548529,22.63%
48,14,2,Austria,-26,134,Australia,,,0.00%
48,14,2,Austria,51,5,Belgium,,763851,0.46%
48,14,2,Austria,61,-98,Canada,,135,0.00%
48,14,2,Austria,37,104,China,,309,0.00%
48,14,2,Austria,45,16,Croatia,,5575693,4.08%
48,14,2,Austria,50,15,Czechia,,6586188,1.85%
48,14,2,Austria,46,3,France,,8383704,1.99%
48,14,2,Austria,51,10,Germany,,90513519,2.91%
48,14,2,Austria,47,19,Hungary,,3929430,1.38%
48,14,2,Austria,43,12,Italy,,82480486,4.69%
48,14,2,Austria,38,138,Japan,,366650,0.15%
48,14,2,Austria,24,-103,Mexico,,,0.00%
48,14,2,Austria,52,5,Netherlands,,34304,0.02%
48,14,2,Austria,52,19,Poland,,3290016,0.89%
48,14,2,Austria,46,25,Romania,,1760094,1.14%
48,14,2,Austria,62,97,Russian Federation,,92632,0.08%
48,14,2,Austria,44,21,Serbia,,2040521,2.70%
48,14,2,Austria,49,19,Slovakia,,3249571,2.01%
48,14,2,Austria,46,15,Slovenia,,148324249,25.96%
48,14,2,Austria,40,-4,Spain,,196662,0.14%
48,14,2,Austria,47,8,Switzerland,,10241164,1.31%
48,14,2,Austria,39,35,Turkey,,39547,0.04%
48,14,2,Austria,54,-3,United Kingdom,,1584713,0.65%
48,14,2,Austria,46,-112,USA,,1374,0.00%
61,-98,3,Canada,37,104,China,,2414584829,66.51%
61,-98,3,Canada,23,80,India,,154069310,41.53%
61,-98,3,Canada,-2,117,Indonesia,,293582173,97.19%
61,-98,3,Canada,38,138,Japan,,230171805,21.15%
61,-98,3,Canada,24,-103,Mexico,,45249835,28.32%
61,-98,3,Canada,36,128,Rep. of Korea,,202273726,55.79%
61,-98,3,Canada,54,-3,United Kingdom,,750284,0.18%
61,-98,3,Canada,46,-112,USA,,1906896109,10.12%
37,104,4,China,-26,134,Australia,,125485,0.01%
37,104,4,China,24,90,Bangladesh,,83560,0.04%
37,104,4,China,51,5,Belgium,,5926930,1.70%
37,104,4,China,-11,-53,Brazil,,2593407,1.27%
37,104,4,China,61,-98,Canada,,166083,0.02%
37,104,4,China,-38,-71,Chile,,,0.00%
37,104,4,China,22,114,"China, Hong Kong SAR",,718046,0.03%
37,104,4,China,26,30,Egypt,,19721,0.01%
37,104,4,China,46,3,France,,2317042,0.49%
37,104,4,China,51,10,Germany,,5215899,0.62%
37,104,4,China,23,80,India,,1716384,0.22%
37,104,4,China,-2,117,Indonesia,,2482472,0.65%
37,104,4,China,33,54,Iran,,10657158,2.03%
37,104,4,China,33,44,Iraq,,,0.00%
37,104,4,China,31,35,Israel,,,0.00%
37,104,4,China,43,12,Italy,,3261746,0.82%
37,104,4,China,38,138,Japan,,9731267,0.35%
37,104,4,China,4,110,Malaysia,,348364,0.04%
37,104,4,China,24,-103,Mexico,,1523866,0.41%
37,104,4,China,52,5,Netherlands,,13308338,2.04%
37,104,4,China,10,8,Nigeria,,376346,0.12%
37,104,4,China,30,69,Pakistan,,224380,0.08%
37,104,4,China,12,123,Philippines,,806672,0.11%
37,104,4,China,52,19,Poland,,136419,0.07%
37,104,4,China,36,128,Rep. of Korea,,19523692,1.80%
37,104,4,China,62,97,Russian Federation,,460536,0.12%
37,104,4,China,24,45,Saudi Arabia,,27108,0.00%
37,104,4,China,1,104,Singapore,,20836,0.00%
37,104,4,China,-29,25,South Africa,,1212127,0.52%
37,104,4,China,40,-4,Spain,,41932,0.01%
37,104,4,China,15,101,Thailand,,13087657,2.22%
37,104,4,China,39,35,Turkey,,319176,0.08%
37,104,4,China,24,54,United Arab Emirates,,151699,0.02%
37,104,4,China,54,-3,United Kingdom,,3807706,0.22%
37,104,4,China,46,-112,USA,,2103814,0.03%
37,104,4,China,17,106,Viet Nam,,33164,0.00%
64,26,5,Finland,28,3,Algeria,,2525935,1.94%
64,26,5,Finland,-26,134,Australia,,3802861,3.73%
64,26,5,Finland,48,14,Austria,,1062965,1.43%
64,26,5,Finland,51,5,Belgium,,32711950,5.07%
64,26,5,Finland,37,104,China,,600402757,65.04%
64,26,5,Finland,56,10,Denmark,,24092,0.02%
64,26,5,Finland,26,30,Egypt,,30655374,10.82%
64,26,5,Finland,59,26,Estonia,,14305030,9.01%
64,26,5,Finland,46,3,France,,85510528,20.66%
64,26,5,Finland,51,10,Germany,,349199199,17.64%
64,26,5,Finland,23,80,India,,14461636,17.23%
64,26,5,Finland,31,35,Israel,,9777091,8.71%
64,26,5,Finland,43,12,Italy,,210097530,44.53%
64,26,5,Finland,38,138,Japan,,12853883,2.45%
64,26,5,Finland,24,-103,Mexico,,33,0.00%
64,26,5,Finland,30,-8,Morocco,,6857522,7.53%
64,26,5,Finland,52,5,Netherlands,,71894858,24.97%
64,26,5,Finland,69,15,Norway,,19859,0.01%
64,26,5,Finland,52,19,Poland,,67889177,16.13%
64,26,5,Finland,36,128,Rep. of Korea,,1341568,1.44%
64,26,5,Finland,62,97,Russian Federation,,17347170,3.83%
64,26,5,Finland,24,45,Saudi Arabia,,127992,0.10%
64,26,5,Finland,40,-4,Spain,,76725818,17.58%
64,26,5,Finland,63,17,Sweden,,69049605,11.53%
64,26,5,Finland,39,35,Turkey,,89706532,29.41%
64,26,5,Finland,54,-3,United Kingdom,,25065739,2.44%
64,26,5,Finland,46,-112,USA,,5171870,0.72%
46,3,6,France,28,3,Algeria,,341443,0.22%
46,3,6,France,-26,134,Australia,,80444,0.10%
46,3,6,France,48,14,Austria,,7478376,7.17%
46,3,6,France,51,5,Belgium,,53851670,3.88%
46,3,6,France,61,-98,Canada,,28113,0.02%
46,3,6,France,37,104,China,,89714215,36.05%
